628,479,1
136,928,4
512,194,3
909,881,2
409,642,1
696,381,3
802,314,3
105,663,4
808,852,2
123,198,0
717,654,2
234,732,4
200,281,0
180,800,4
325,230,0
1015,953,2
709,128,3
858,197,3
322,743,4
55,731,4
361,751,4
88,140,0
41,193,0
803,849,2
22,927,4
24,739,4
557,258,3
447,757,4
539,628,1
533,865,2
858,525,2
794,543,2
653,628,1
740,975,2
348,795,4
682,709,2
522,770,2
849,563,2
964,629,2
389,986,4
532,413,1
701,65,3
671,124,3
822,186,3
752,331,3
27,586,4
856,822,2
105,485,0
426,846,4
436,774,4
617,94,3
460,116,0
865,285,3
679,805,2
914,44,3
767,422,3
457,444,1
487,104,0
568,285,1
291,297,0
617,318,3
883,449,3
116,989,4
935,543,2
811,347,3
293,404,0
442,753,4
520,283,1
15,176,0
64,929,4
220,831,4
328,678,4
251,815,4
782,819,2
77,49,0
92,694,4
368,976,4
119,484,0
941,30,3
3,728,4
378,297,0
108,820,4
26,629,4
79,41,0
805,143,3
971,1,3
974,275,3
679,201,3
66,438,0
1020,143,3
487,89,0
837,855,2
41,957,4
316,982,4
987,319,3
686,341,3
616,794,2
137,643,4
399,216,0
684,180,3
359,631,1
182,309,0
906,861,2
510,973,2
275,507,1
92,763,4
596,930,2
594,637,1
863,910,2
595,826,2
206,257,0
144,822,4
27,281,0
441,427,1
498,102,0
607,857,2
733,789,2
143,616,4
627,653,1
565,902,2
136,657,4
641,732,2
563,212,3
345,402,1
98,940,4
205,304,0
173,349,0
103,201,0
630,544,1
628,104,3
646,211,3
962,356,3
1001,81,3
972,604,2
734,513,1
482,871,4
146,100,0
579,710,1
312,925,4
88,410,0
841,293,3
715,1015,2
642,818,2
192,249,0
338,820,4
353,985,4
7,291,0
317,1008,4
372,265,0
588,83,3
778,47,3
954,924,2
147,509,4
610,459,1
410,699,4
869,228,3
992,560,2
219,611,4
354,411,1
860,693,2
207,189,0
654,214,3
481,971,4
199,853,4
212,787,4
936,990,2
834,866,2
890,981,2
352,477,1
416,762,4
152,262,0
