628,479,0
136,928,4
512,194,2
909,881,1
409,642,4
696,381,0
802,314,2
105,663,4
808,852,1
123,198,3
717,654,0
234,732,4
200,281,3
180,800,4
325,230,3
1015,953,1
709,128,2
858,197,2
322,743,4
55,731,4
361,751,4
88,140,3
41,193,3
803,849,1
22,927,4
24,739,4
557,258,2
447,757,4
539,628,0
533,865,1
858,525,0
794,543,0
653,628,0
740,975,1
348,795,4
682,709,1
522,770,1
849,563,0
964,629,0
389,986,4
532,413,0
701,65,2
671,124,2
822,186,2
752,331,2
27,586,4
856,822,1
105,485,3
426,846,4
436,774,4
617,94,2
460,116,3
865,285,2
679,805,1
914,44,2
767,422,0
457,444,3
487,104,2
568,285,2
291,297,3
617,318,2
883,449,0
116,989,4
935,543,0
811,347,0
293,404,3
442,753,4
520,283,2
15,176,3
64,929,4
220,831,4
328,678,4
251,815,4
782,819,1
77,49,3
92,694,4
368,976,4
119,484,3
941,30,2
3,728,4
378,297,3
108,820,4
26,629,4
79,41,3
805,143,2
971,1,2
974,275,2
679,201,2
66,438,3
1020,143,2
487,89,2
837,855,1
41,957,4
316,982,4
987,319,2
686,341,2
616,794,1
137,643,4
399,216,3
684,180,2
359,631,4
182,309,3
906,861,1
510,973,1
275,507,3
92,763,4
596,930,1
594,637,0
863,910,1
595,826,1
206,257,3
144,822,4
27,281,3
441,427,3
498,102,2
607,857,1
733,789,1
143,616,4
627,653,0
565,902,1
136,657,4
641,732,1
563,212,2
345,402,3
98,940,4
205,304,3
173,349,3
103,201,3
630,544,0
628,104,2
646,211,2
962,356,0
1001,81,2
972,604,0
734,513,0
482,871,4
146,100,3
579,710,1
312,925,4
88,410,3
841,293,2
715,1015,1
642,818,1
192,249,3
338,820,4
353,985,4
7,291,3
317,1008,4
372,265,3
588,83,2
778,47,2
954,924,1
147,509,3
610,459,0
410,699,4
869,228,2
992,560,0
219,611,4
354,411,3
860,693,1
207,189,3
654,214,2
481,971,1
199,853,4
212,787,4
936,990,1
834,866,1
890,981,1
352,477,3
416,762,4
152,262,3
990,120,2
822,185,2
731,153,2
596,567,0
846,803,1
757,476,0
1018,214,2
423,193,3
43,635,4
980,980,1
601,791,1
822,467,0
748,150,2
944,141,2
913,72,2
403,879,4
193,201,3
41,924,4
354,637,4
468,176,3
417,201,3
652,411,0
415,51,3
604,458,0
686,560,0
414,263,3
327,213,3
731,52,2
363,651,4
193,252,3
724,596,0
108,917,4
797,149,2
817,128,2
786,261,2
304,179,3
462,957,4
590,877,1
1008,170,2
312,671,4
731,726,1
934,34,2
939,641,0
86,279,3
269,279,3
531,993,1
875,639,0
886,649,0
788,679,0
777,551,0
941,57,2
730,379,0
1014,297,2
233,999,4
467,545,0
646,174,2
247,556,4
209,163,3
174,295,3
442,443,3
575,973,1
412,426,3
589,274,2
51,353,3
953,828,1
904,870,1
886,611,0
226,876,4
908,459,0
851,351,0
1004,473,0
526,227,2
6,735,4
390,180,3
6,832,4
623,581,0
782,11,2
1008,347,0
285,35,3
700,214,2
864,581,0
61,726,4
168,287,3
578,52,2
746,406,0
403,726,4
879,929,1
953,885,1
640,320,2
41,647,4
128,664,4
204,910,4
675,188,2
233,960,4
224,934,4
151,64,3
491,212,2
790,659,0
499,344,3
711,221,2
750,90,2
947,606,0
1020,876,1
467,636,4
172,509,3
259,301,3
149,464,3
187,825,4
652,421,0
761,876,1
331,912,4
940,822,1
100,706,4
457,599,4
27,144,3
820,777,1
234,743,4
359,230,3
596,827,1
867,768,1
312,102,3
45,461,3
566,233,2
262,195,3
654,0,2
47,985,4
912,988,1
783,1013,1
670,216,2
588,697,1
360,385,3
451,594,4
104,810,4
825,700,1
613,668,0
445,925,4
770,490,0
363,313,3
723,625,0
508,353,3
625,555,0
314,514,4
519,73,2
503,166,2
289,67,3
863,649,0
452,290,3
220,557,4
77,21,3
233,690,4
689,678,0
592,435,0
145,955,4
748,868,1
556,232,2
198,158,3
788,512,0
672,283,2
586,151,2
449,875,4
218,289,3
501,671,4
579,721,1
204,656,4
742,437,0
323,407,3
92,915,4
842,237,2
846,567,0
81,378,3
799,279,2
